ID
ACR
ACR-L
ACR-R
ALIC
ALIC-L
ALIC-R
AverageFA
BCC
CC
CGC
CGC-L
CGC-R
CGH
CGH-L
CGH-R
CR
CR-L
CR-R
CST
CST-L
CST-R
EC
EC-L
EC-R
FX
FX/ST-L
FX/ST-R
FXST
GCC
IC
IC-L
IC-R
IFO
IFO-L
IFO-R
PCR
PCR-L
PCR-R
PLIC
PLIC-L
PLIC-R
PTR
PTR-L
PTR-R
RLIC
RLIC-L
RLIC-R
SCC
SCR
SCR-L
SCR-R
SFO
SFO-L
SFO-R
SLF
SLF-L
SLF-R
SS
SS-L
SS-R
UNC
UNC-L
UNC-R
